,Character,Pinyin,English
82,心,xin1,"heart/mind/intention/center/core/CL:|[ke1],|[ge4]"
83,儿,er2,non-syllabic diminutive suffix/retroflex final
84,停,ting2,to stop/to halt/to park (a car)
85,像,xiang4,to resemble/to be like/to look as if/such as/appearance/image/portrait/image under a mapping (math.)
86,步,bu4,a step/a pace/walk/march/stages in a process/situation
87,动,dong4,"(of sth) to move/to set in movement/to displace/to touch/to make use of/to stir (emotions)/to alter/abbr. for |[dong4 ci2], verb"
88,力,li4,power/force/strength/ability/strenuously
89,狐,hu2,fox
90,狸,li2,variant of [li2]
91,窝,wo1,nest/pit or hollow on the human body/lair/den/place/to harbor or shelter/to hold in check/to bend/classifier for litters and broods
92,洞,dong4,"used in [Hong2tong2], a county in Shanxi"
93,她,ta1,she
94,孩,hai2,(bound form) child
95,块,kuai4,"lump; chunk; piece/classifier for pieces of cloth, cake, soap etc/(coll.) classifier for money and currency units"
96,肉,rou4,meat/flesh/pulp (of a fruit)/(coll.) (of a fruit) squashy/(of a person) flabby/irresolute/Kangxi radical 130
97,叼,diao1,to hold with one's mouth (as a smoker with a cigarette or a dog with a bone)
98,站,zhan4,station/to stand/to halt/to stop/branch of a company or organization/website
99,旁,pang2,"one side/other/different/lateral component of a Chinese character (such as [dao1], [ren2] etc)"
100,乐,le4,music
101,肚,du4,belly
102,馋,chan2,gluttonous/greedy/to have a craving
103,流,liu2,"to flow/to disseminate/to circulate or spread/to move or drift/to degenerate/to banish or send into exile/stream of water or sth resembling one/class, rate or grade"
104,亲,qin1,parents-in-law of one's offspring
105,羽,yu3,feather/5th note in pentatonic scale
106,雀,que4,(bound form) small bird/sparrow/also pr. [qiao3]
107,差,cha4,used in |[cen1ci1]
108,嗓,sang3,throat/voice
109,谁,shui2,who/also pr. [shui2]
110,唱,chang4,to sing/to call loudly/to chant
111,歌,ge1,variant of [ge1]
112,句,ju4,sentence/clause/phrase/classifier for phrases or lines of verse
113,意,yi4,idea/meaning/thought/to think/wish/desire/intention/to expect/to anticipate
114,极,ji2,"extremely/pole (geography, physics)/utmost/top"
115,哇,wa,"replaces [a5] when following the vowel ""u"" or ""ao"""
116,张,zhang1,"to open up/to spread/sheet of paper/classifier for flat objects, sheet/classifier for votes"
