Character,Pinyin,English
花,hua1,variant of 花[hua1]/flower/blossom/also pr. [wei3]
生,sheng1,to be born/to give birth/life/to grow/raw/uncooked/student
麻,ma2,"generic name for hemp, flax etc/hemp or flax fiber for textile materials/sesame/CL:縷|缕[lu:3]/(of materials) rough or coarse/pocked/pitted/to have pins and needles or tingling/to feel numb"
屋,wu1,(bound form) house/(bound form) room
帐,zhang4,(bound form) curtain; tent; canopy/variant of 賬|账[zhang4]
里,li3,"li, ancient measure of length, approx. 500 m/neighborhood/ancient administrative unit of 25 families/(Tw) borough, administrative unit between the township 鎮|镇[zhen4] and neighborhood 鄰|邻[lin2] levels"
面,mian4,flour/noodles/(of food) soft (not crunchy)/(slang) (of a person) ineffectual/spineless
睡,shui4,to sleep/to lie down
白,bai2,white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera
胖,pang4,fat/plump
坐,zuo4,"to sit/to take a seat/to take (a bus, airplane etc)/to bear fruit/variant of 座[zuo4]"
立,li4,to stand/to set up/to establish/to lay down/to draw up/at once/immediately
走,zou3,"to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走[che4 zou3])/to change (shape, form, meaning)"
二,er4,two/2/(Beijing dialect) stupid
三,san1,three/3
四,si4,four/4
六,liu4,six/6
七,qi1,seven/7
八,ba1,eight; 8
九,jiu3,nine/9
去,qu4,to go/to go to (a place)/(of a time etc) last/just passed/to send/to remove/to get rid of/to reduce/to be apart from in space or time/to die (euphemism)/to play (a part)/(when used either before or after a verb) to go in order to do sth/(after a verb of motion indicates movement away from the speaker)/(used after certain verbs to indicate detachment or separation)
路,lu4,road (CL:條|条[tiao2])/journey/route/line (bus etc)/sort; kind
门,men2,"gate/door/CL:扇[shan4]/gateway/doorway/CL:個|个[ge4]/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/(suffix) -gate (i.e. scandal; derived from Watergate)"
树,shu4,tree/CL:棵[ke1]/to cultivate/to set up
多,duo1,many; much/too many; in excess/(after a numeral) ... odd/how (to what extent) (Taiwan pr. [duo2])/(bound form) multi-; poly-
少,shao3,young
算,suan4,to regard as/to figure/to calculate/to compute
棵,ke1,"classifier for trees, cabbages, plants etc"
共,gong4,"common/general/to share/together/total/altogether/abbr. for 共產黨|共产党[Gong4 chan3 dang3], Communist party"
鸟,niao3,"bird/CL:隻|只[zhi1],群[qun2]/""bird"" radical in Chinese characters (Kangxi radical 196)/(dialect) to pay attention to/(intensifier) damned/goddamn"
飞,fei1,to fly
还,hai2,to pay back/to return
剩,sheng4,variant of 剩[sheng4]
几,ji3,how much/how many/several/a few
加,jia1,"to add/plus/(used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned)/to apply (restrictions etc) to (sb)/to give (support, consideration etc) to (sth)"
减,jian3,to lower/to decrease/to reduce/to subtract/to diminish
比,bi3,to compare/(followed by a noun and adjective) more {adj.} than {noun}/ratio/to gesture/(Taiwan pr. [bi4] in some compounds derived from Classical Chinese)
雨,yu3,"(literary) to rain/(of rain, snow etc) to fall/to precipitate/to wet"
千,qian1,used in 鞦韆|秋千[qiu1qian1]
万,wan4,ten thousand/a great number
条,tiao2,"strip/item/article/clause (of law or treaty)/classifier for long thin things (ribbon, river, road, trousers etc)"
线,xian4,"thread/string/wire/line/CL:條|条[tiao2],股[gu3],根[gen1]/(after a number) tier (unofficial ranking of a Chinese city)"
掉,diao4,"to fall/to drop/to lag behind/to lose/to go missing/to reduce/fall (in prices)/to lose (value, weight etc)/to wag/to swing/to turn/to change/to exchange/to swap/to show off/to shed (hair)/(used after certain verbs to express completion, fulfillment, removal etc)"
进,jin4,to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound
水,shui3,water/(after a name) ... River/to swim (used mostly in 會水|会水[hui4shui3] and 水性[shui3xing4])/(coll.) lacking in substance; shoddy/(bound form) additional cost; extra income/classifier for washings of a garment
风,feng1,"wind/news/style/custom/manner/CL:陣|阵[zhen4],絲|丝[si1]"
云,yun2,cloud/CL:朵[duo3]
雪,xue3,snow/CL:場|场[chang2]/(literary) to wipe away (a humiliation etc)
镜,jing4,mirror/lens
他,ta1,he; him (used for either sex when the sex is unknown or unimportant)/(used before sb's name for emphasis)/(used as a meaningless mock object)/(literary) other
也,ye3,also; too; as well; (not ...) either/(used after a verbal or nominal expression X to indicate that X is an extreme or unexpected case) even (X)/(literary) particle having functions similar to 啊[a5]
哭,ku1,to cry; to weep
笑,xiao4,to laugh; to smile/to laugh at
脸,lian3,"face/CL:張|张[zhang1],個|个[ge4]"
脏,zang4,dirty/filthy/to get (sth) dirty
就,jiu4,(after a suppositional clause) in that case; then/(after a clause of action) as soon as; immediately after/(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly/only; as little as/as much as; as many as/to approach; to move towards/to undertake; to engage in/(often followed by 著|着[zhe5]) taking advantage of/(of food) to go with/with regard to; concerning/(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still .../(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be ...
知,zhi1,to know/to be aware
道,dao4,"road; path (CL:條|条[tiao2],股[gu3])/(bound form) way; reason; principle/(bound form) a skill; an art; a specialization/(Daoism) the Way; the Dao/to say (introducing a direct quotation, as in a novel)/(bound form) to express; to extend (polite words)/classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process/(old) circuit (administrative division)"
爸,ba4,father/dad/pa/papa
妈,ma1,ma/mom/mother
爱,ai4,to love; to be fond of; to like/affection/to be inclined (to do sth); to tend to (happen)
袋,dai4,pouch/bag/sack/pocket
鼠,shu3,(bound form) rat; mouse
奇,qi2,strange/odd/weird/wonderful/surprisingly/unusually
怪,guai4,variant of 怪[guai4]
好,hao3,to be fond of; to have a tendency to; to be prone to
胸,xiong1,chest/bosom/heart/mind/thorax
挂,gua4,to hang; to suspend (from a hook etc)/to hang up (the phone)/(of a line) to be dead/to be worried; to be concerned/(dialect) to make a phone call/to register (at a hospital); to make an appointment (with a doctor)/(slang) to kill; to die; to be finished; to fail (an exam)/classifier for sets or clusters of objects
放,fang4,to put/to place/to release/to free/to let go/to let out/to set off (fireworks)
果,guo3,variant of 果[guo3]/fruit
菜,cai4,"vegetable; greens (CL:棵[ke1])/dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2])/(of one's skills etc) weak; poor/(coll.) (one's) type"
娃,wa2,baby/doll
爬,pa2,to crawl/to climb/to get up or sit up
来,lai2,"to come/(used as a substitute for a more specific verb)/hither (directional complement for motion toward the speaker, as in 回來|回来[hui2lai5])/ever since (as in 自古以來|自古以来[zi4gu3 yi3lai2])/for the past (amount of time)/(prefix) the coming ...; the next ... (as in 來世|来世[lai2shi4])/(between two verbs) in order to/(after a round number) approximately/(used after 得[de2] to indicate possibility, as in 談得來|谈得来[tan2de5lai2], or after 不[bu4] to indicate impossibility, as in 吃不來|吃不来[chi1bu5lai2])"
米,mi3,uncooked rice/meter (unit of length)/(slang) Chinese yuan
田,tian2,field/farm/CL:片[pian4]
石,shi2,rock/stone/stone inscription/one of the eight categories of ancient musical instruments 八音[ba1 yin1]
木,mu4,(bound form) tree/(bound form) wood/unresponsive; numb; wooden
土,tu3,earth/dust/clay/local/indigenous/crude opium/unsophisticated/one of the eight categories of ancient musical instruments 八音[ba1 yin1]
画,hua4,"to draw; to paint/picture; painting (CL:幅[fu2],張|张[zhang1])/to draw (a line) (variant of 劃|划[hua4])/stroke of a Chinese character (variant of 劃|划[hua4])/(calligraphy) horizontal stroke (variant of 劃|划[hua4])"
远,yuan3,to distance oneself from (classical)
色,se4,(coll.) color/used in 色子[shai3zi5]
近,jin4,near/close to/approximately
听,ting1,"to listen to; to hear/to heed; to obey/a can (loanword from English ""tin"")/classifier for canned beverages/to let be; to allow (Taiwan pr. [ting4])/(literary) to administer; to deal with (Taiwan pr. [ting4])"
无,wu2,not to have/no/none/not/to lack/un-/-less
声,sheng1,sound/voice/tone/noise/reputation/classifier for sounds
春,chun1,spring (season)/gay/joyful/youthful/love/lust/life
人,ren2,"person; people/CL:個|个[ge4],位[wei4]"
蝌,ke1,used in 蝌蚪[ke1dou3]
蚪,dou3,used in 蝌蚪[ke1dou3]
细,xi4,thin or slender/finely particulate/thin and soft/fine/delicate/trifling/(of a sound) quiet/frugal
身,shen1,"body/life/oneself/personally/one's morality and conduct/the main part of a structure or body/pregnant/classifier for sets of clothes: suit, twinset/Kangxi radical 158"
脑,nao3,brain/mind/head/essence
长,zhang3,chief/head/elder/to grow/to develop/to increase/to enhance
着,zhe,to wear (clothes)/to contact/to use/to apply
变,bian4,to change/to become different/to transform/to vary/rebellion
